FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
054/01/01,054,GERIK,01,PENGKALAN HULU,01,AYER PANAS,1503
054/01/02,054,GERIK,01,PENGKALAN HULU,02,KUAK HULU,1105
054/01/03,054,GERIK,01,PENGKALAN HULU,03,KUAK LUAR,2630
054/01/04,054,GERIK,01,PENGKALAN HULU,04,PEKAN KROH,2581
054/01/05,054,GERIK,01,PENGKALAN HULU,05,KAMPONG SELARONG,975
054/01/06,054,GERIK,01,PENGKALAN HULU,06,TASEK,1033
054/01/07,054,GERIK,01,PENGKALAN HULU,07,KLIAN INTAN,1346
054/01/08,054,GERIK,01,PENGKALAN HULU,08,KAMPONG PAHIT,1133
054/01/09,054,GERIK,01,PENGKALAN HULU,09,KAMPONG LALANG,837
054/01/10,054,GERIK,01,PENGKALAN HULU,10,KAMPONG PLANG,1220
054/02/01,054,GERIK,02,TEMENGOR,01,KRUNEI,2729
054/02/02,054,GERIK,02,TEMENGOR,02,PEKAN GRIK BARAT,2602
054/02/03,054,GERIK,02,TEMENGOR,03,BATU DUA,1119
054/02/04,054,GERIK,02,TEMENGOR,04,GRIK UTARA,1236
054/02/05,054,GERIK,02,TEMENGOR,05,KUALA RUI,834
054/02/06,054,GERIK,02,TEMENGOR,06,PEKAN GRIKTIMOR,2439
054/02/07,054,GERIK,02,TEMENGOR,07,KAMPONG BONGOR,1063
054/02/08,054,GERIK,02,TEMENGOR,08,RANCANGAN FELDA BERSIA,1727
054/02/09,054,GERIK,02,TEMENGOR,09,BERSIA,3347
054/02/10,054,GERIK,02,TEMENGOR,10,BANUN,639
054/02/11,054,GERIK,02,TEMENGOR,11,POS KEMAR,1436
054/02/12,054,GERIK,02,TEMENGOR,12,SUNGAI TIANG,298
055/03/01,055,LENGGONG,03,KENERING,01,KENERING UTARA,1019
055/03/02,055,LENGGONG,03,KENERING,02,TAWAI,1075
055/03/03,055,LENGGONG,03,KENERING,03,ULU KENDERONG,1461
055/03/04,055,LENGGONG,03,KENERING,04,PADANG KUNYIT,827
055/03/05,055,LENGGONG,03,KENERING,05,KAMPONG AYER PANAS,835
055/03/06,055,LENGGONG,03,KENERING,06,KAMPONG PADANG,1246
055/03/07,055,LENGGONG,03,KENERING,07,KAMPONG GANDA,1010
055/03/08,055,LENGGONG,03,KENERING,08,FELDA LAWIN SELATAN,1071
055/03/09,055,LENGGONG,03,KENERING,09,LAWIN,876
055/03/10,055,LENGGONG,03,KENERING,10,FELDA PAPULUT,633
055/03/11,055,LENGGONG,03,KENERING,11,SUNGAI DALA,448
055/03/12,055,LENGGONG,03,KENERING,12,BELUM BAHARU,1036
055/03/13,055,LENGGONG,03,KENERING,13,KAMPONG SAWA,752
055/03/14,055,LENGGONG,03,KENERING,14,PADANG GERUS,656
055/03/15,055,LENGGONG,03,KENERING,15,SUMPITAN,1256
055/03/16,055,LENGGONG,03,KENERING,16,SELAT PAGAR,284
055/03/17,055,LENGGONG,03,KENERING,17,AYER KALA,957
055/03/18,055,LENGGONG,03,KENERING,18,BUKIT SAPI,646
055/04/01,055,LENGGONG,04,KOTA TAMPAN,01,KAMPONG GELOK,1166
055/04/02,055,LENGGONG,04,KOTA TAMPAN,02,KAMPONG LENGGONG,804
055/04/03,055,LENGGONG,04,KOTA TAMPAN,03,KAMPONG SIRA,1177
055/04/04,055,LENGGONG,04,KOTA TAMPAN,04,KAMPONG TELOK BATU,455
055/04/05,055,LENGGONG,04,KOTA TAMPAN,05,BUKIT RAJA,704
055/04/06,055,LENGGONG,04,KOTA TAMPAN,06,BUKIT BALAI,567
055/04/07,055,LENGGONG,04,KOTA TAMPAN,07,KAMPONG TEMELONG,748
055/04/08,055,LENGGONG,04,KOTA TAMPAN,08,KAMPONG CHEPOR,718
055/04/09,055,LENGGONG,04,KOTA TAMPAN,09,BANGGOL BELIMBING,855
055/04/10,055,LENGGONG,04,KOTA TAMPAN,10,LUBOK KAWAH,1025
055/04/11,055,LENGGONG,04,KOTA TAMPAN,11,KOTA TAMPAN,352
055/04/12,055,LENGGONG,04,KOTA TAMPAN,12,KAMPONG LUAT,811
055/04/13,055,LENGGONG,04,KOTA TAMPAN,13,KAMPONG BENG,535
055/04/14,055,LENGGONG,04,KOTA TAMPAN,14,KAMPONG RABAN,692
