FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
078/01/01,078,CAMERON HIGHLANDS,01,TANAH RATA,01,POS TERISU,356
078/01/02,078,CAMERON HIGHLANDS,01,TANAH RATA,02,POS TELANUK,484
078/01/03,078,CAMERON HIGHLANDS,01,TANAH RATA,03,POS LEMOI,166
078/01/04,078,CAMERON HIGHLANDS,01,TANAH RATA,04,POS MENSUN,465
078/01/05,078,CAMERON HIGHLANDS,01,TANAH RATA,05,LEMBAH BERTAM,1945
078/01/06,078,CAMERON HIGHLANDS,01,TANAH RATA,06,BANDAR RINGLET,2081
078/01/07,078,CAMERON HIGHLANDS,01,TANAH RATA,07,HABU,755
078/01/08,078,CAMERON HIGHLANDS,01,TANAH RATA,08,LADANG BOH 1,207
078/01/09,078,CAMERON HIGHLANDS,01,TANAH RATA,09,LADANG BOH 2,244
078/01/10,078,CAMERON HIGHLANDS,01,TANAH RATA,10,KEA FARM,419
078/01/11,078,CAMERON HIGHLANDS,01,TANAH RATA,11,TANAH RATA,2453
078/01/12,078,CAMERON HIGHLANDS,01,TANAH RATA,12,BERINCHANG,2160
078/01/13,078,CAMERON HIGHLANDS,01,TANAH RATA,13,LADANG SUNGAI PALAS,221
078/01/14,078,CAMERON HIGHLANDS,01,TANAH RATA,14,LADANG BLUE VALLEY,323
078/01/15,078,CAMERON HIGHLANDS,01,TANAH RATA,15,KAMPUNG RAJA,1879
078/01/16,078,CAMERON HIGHLANDS,01,TANAH RATA,16,KUALA TERLA,1324
078/01/17,078,CAMERON HIGHLANDS,01,TANAH RATA,17,TERINGKAP,1250
078/02/01,078,CAMERON HIGHLANDS,02,JELAI,01,POS LANAI,328
078/02/02,078,CAMERON HIGHLANDS,02,JELAI,02,KUALA MEDANG,845
078/02/03,078,CAMERON HIGHLANDS,02,JELAI,03,TANJUNG GAHAI,657
078/02/04,078,CAMERON HIGHLANDS,02,JELAI,04,BUKIT KOTA,856
078/02/05,078,CAMERON HIGHLANDS,02,JELAI,05,KAMPUNG KELEDEK,986
078/02/06,078,CAMERON HIGHLANDS,02,JELAI,06,LUBUK KULIT,846
078/02/07,078,CAMERON HIGHLANDS,02,JELAI,07,FELDA SUNGAI KOYAN SATU,1480
078/02/08,078,CAMERON HIGHLANDS,02,JELAI,08,FELDA SUNGAI KOYAN DUA & TIGA,2135
078/02/09,078,CAMERON HIGHLANDS,02,JELAI,09,POS BETAU,1182
078/02/10,078,CAMERON HIGHLANDS,02,JELAI,10,POS SINDERUT,1025
078/02/11,078,CAMERON HIGHLANDS,02,JELAI,11,POS LENJANG,584
078/02/12,078,CAMERON HIGHLANDS,02,JELAI,12,POS TITUM,236
079/03/01,079,LIPIS,03,PADANG TENGKU,01,MERAPOH,974
079/03/02,079,LIPIS,03,PADANG TENGKU,02,MENTARA,346
079/03/03,079,LIPIS,03,PADANG TENGKU,03,TELUK GUNUNG,821
079/03/04,079,LIPIS,03,PADANG TENGKU,04,KAMPUNG PETOLA,349
079/03/05,079,LIPIS,03,PADANG TENGKU,05,PAGAR SASAK,748
079/03/06,079,LIPIS,03,PADANG TENGKU,06,FELDA SUNGAI KECHAU,1042
079/03/07,079,LIPIS,03,PADANG TENGKU,07,LADANG SELBORNE,352
079/03/08,079,LIPIS,03,PADANG TENGKU,08,PADANG TENGKU,1155
079/03/09,079,LIPIS,03,PADANG TENGKU,09,GUA,1062
079/03/10,079,LIPIS,03,PADANG TENGKU,10,TEMPOYANG,874
079/03/11,079,LIPIS,03,PADANG TENGKU,11,BAPONG,456
079/03/12,079,LIPIS,03,PADANG TENGKU,12,RELONG,712
079/03/13,079,LIPIS,03,PADANG TENGKU,13,BERCHANG,533
079/03/14,079,LIPIS,03,PADANG TENGKU,14,TELANG,425
079/03/15,079,LIPIS,03,PADANG TENGKU,15,SEBERANG JELAI,272
