FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
134/01/01,134,MASJID TANAH,01,KUALA LINGGI,01,Tanjung Dahan,1807
134/01/02,134,MASJID TANAH,01,KUALA LINGGI,02,Sungai Baru Hilir,990
134/01/03,134,MASJID TANAH,01,KUALA LINGGI,03,Kampung Tengah,1154
134/01/04,134,MASJID TANAH,01,KUALA LINGGI,04,Permatang,1769
134/01/05,134,MASJID TANAH,01,KUALA LINGGI,05,Kuala Sungai Baru,1197
134/01/06,134,MASJID TANAH,01,KUALA LINGGI,06,Paya Mengkuang,1584
134/01/07,134,MASJID TANAH,01,KUALA LINGGI,07,Telok Gong,2020
134/02/01,134,MASJID TANAH,02,TANJUNG BIDARA,01,Kampung Pulau,977
134/02/02,134,MASJID TANAH,02,TANJUNG BIDARA,02,Lubok Redan,1354
134/02/03,134,MASJID TANAH,02,TANJUNG BIDARA,03,Sungai Baru Tengah,1769
134/02/04,134,MASJID TANAH,02,TANJUNG BIDARA,04,Pengkalan Balak,2499
134/02/05,134,MASJID TANAH,02,TANJUNG BIDARA,05,Pasir Gembor,2692
134/03/01,134,MASJID TANAH,03,AYER LIMAU,01,Ramuan China Besar,2048
134/03/02,134,MASJID TANAH,03,AYER LIMAU,02,Ramuan China Kechil,1722
134/03/03,134,MASJID TANAH,03,AYER LIMAU,03,Sungai Jerneh,379
134/03/04,134,MASJID TANAH,03,AYER LIMAU,04,Sungai Siput,736
134/03/05,134,MASJID TANAH,03,AYER LIMAU,05,FELCRA Ramuan China Kechil,840
134/03/06,134,MASJID TANAH,03,AYER LIMAU,06,Kampung Lekok,2872
134/03/07,134,MASJID TANAH,03,AYER LIMAU,07,Kampung Pinang,1872
134/04/01,134,MASJID TANAH,04,LENDU,01,Pekan Masjid Tanah,2807
134/04/02,134,MASJID TANAH,04,LENDU,02,Durian Daun,2014
134/04/03,134,MASJID TANAH,04,LENDU,03,Sungai Baru Hulu,2418
134/04/04,134,MASJID TANAH,04,LENDU,04,Pekan Lendu,2254
134/05/01,134,MASJID TANAH,05,TABOH NANING,01,Berisu,725
134/05/02,134,MASJID TANAH,05,TABOH NANING,02,Cherana Puteh,1761
134/05/03,134,MASJID TANAH,05,TABOH NANING,03,Simpang Empat,1903
134/05/04,134,MASJID TANAH,05,TABOH NANING,04,Sungai Buloh,589
134/05/05,134,MASJID TANAH,05,TABOH NANING,05,Batang Melekek,1289
134/05/06,134,MASJID TANAH,05,TABOH NANING,06,Rantau Panjang,712
134/05/07,134,MASJID TANAH,05,TABOH NANING,07,Ayer Paabas,1219
135/06/01,135,ALOR GAJAH,06,REMBIA,01,Pekan Alor Gajah,2996
135/06/02,135,ALOR GAJAH,06,REMBIA,02,Kelemak,2378
135/06/03,135,ALOR GAJAH,06,REMBIA,03,Kampung Tebat,1282
135/06/04,135,ALOR GAJAH,06,REMBIA,04,Sungai Petai,2116
135/06/05,135,ALOR GAJAH,06,REMBIA,05,Pekan Rembia,2275
135/06/06,135,ALOR GAJAH,06,REMBIA,06,Jeram,902
135/07/01,135,ALOR GAJAH,07,GADEK,01,Bukit Sebang,1839
135/07/02,135,ALOR GAJAH,07,GADEK,02,Pekan Pulau Sebang,901
135/07/03,135,ALOR GAJAH,07,GADEK,03,Kuala Ina,2595
135/07/04,135,ALOR GAJAH,07,GADEK,04,Arongan,733
135/07/05,135,ALOR GAJAH,07,GADEK,05,Tanjung Rimau,597
135/07/06,135,ALOR GAJAH,07,GADEK,06,Padang Sebang,1512
135/07/07,135,ALOR GAJAH,07,GADEK,07,Pegoh,683
135/07/08,135,ALOR GAJAH,07,GADEK,08,Paya Datuk,797
135/07/09,135,ALOR GAJAH,07,GADEK,09,Ganun,641
135/07/10,135,ALOR GAJAH,07,GADEK,10,Pekan Gadek,2041
135/08/01,135,ALOR GAJAH,08,MACHAP JAYA,01,FELDA Hutan Percha,1286
135/08/02,135,ALOR GAJAH,08,MACHAP JAYA,02,Tebong,1964
135/08/03,135,ALOR GAJAH,08,MACHAP JAYA,03,Kemuning,554
135/08/04,135,ALOR GAJAH,08,MACHAP JAYA,04,Machap Baru,2413
135/08/05,135,ALOR GAJAH,08,MACHAP JAYA,05,Solok Menggong,692
135/08/06,135,ALOR GAJAH,08,MACHAP JAYA,06,Melaka Pindah,2419
135/08/07,135,ALOR GAJAH,08,MACHAP JAYA,07,Machap Umbor,1940
135/08/08,135,ALOR GAJAH,08,MACHAP JAYA,08,Ayer Pasir,502
135/08/09,135,ALOR GAJAH,08,MACHAP JAYA,09,Jelatang,2287
135/09/01,135,ALOR GAJAH,09,DURIAN TUNGGAL,01,Parit Melana,2349
135/09/02,135,ALOR GAJAH,09,DURIAN TUNGGAL,02,Belimbing Dalam,1426
135/09/03,135,ALOR GAJAH,09,DURIAN TUNGGAL,03,Bukit Tambun,3033
135/09/04,135,ALOR GAJAH,09,DURIAN TUNGGAL,04,Pekan Durian Tunggal,2023
135/09/05,135,ALOR GAJAH,09,DURIAN TUNGGAL,05,Gangsa,3042
135/10/01,135,ALOR GAJAH,10,ASAHAN,01,Simpang Tebong,909
135/10/02,135,ALOR GAJAH,10,ASAHAN,02,Batang Melaka,1783
135/10/03,135,ALOR GAJAH,10,ASAHAN,03,Jus,493
135/10/04,135,ALOR GAJAH,10,ASAHAN,04,Pekan Nyalas,2019
135/10/05,135,ALOR GAJAH,10,ASAHAN,05,Pekan Selandar,1952
135/10/06,135,ALOR GAJAH,10,ASAHAN,06,Bukit Senggeh,1031
135/10/07,135,ALOR GAJAH,10,ASAHAN,07,FELDA Bukit Senggeh,2160
135/10/08,135,ALOR GAJAH,10,ASAHAN,08,Pondok Batang,1876
135/10/09,135,ALOR GAJAH,10,ASAHAN,09,Pekan Asahan,1767
135/10/10,135,ALOR GAJAH,10,ASAHAN,10,Ladang Bukit Asahan,571
135/10/11,135,ALOR GAJAH,10,ASAHAN,11,Bukit Sedanan,794
136/11/01,136,TANGGA BATU,11,SUNGAI UDANG,01,Bukit Terendak,14682
136/11/02,136,TANGGA BATU,11,SUNGAI UDANG,02,Paya Rumput Jaya,1568
136/11/03,136,TANGGA BATU,11,SUNGAI UDANG,03,Bertam Hulu,2558
136/11/04,136,TANGGA BATU,11,SUNGAI UDANG,04,Ayer Salak,855
136/12/01,136,TANGGA BATU,12,PANTAI KUNDOR,01,Paya Luboh,2376
136/12/02,136,TANGGA BATU,12,PANTAI KUNDOR,02,Pantai Puteri,3228
136/12/03,136,TANGGA BATU,12,PANTAI KUNDOR,03,Pengkalan Perigi,1838
136/12/04,136,TANGGA BATU,12,PANTAI KUNDOR,04,Kampung Gelam,3002
136/12/05,136,TANGGA BATU,12,PANTAI KUNDOR,05,Sungai Lereh,2455
136/12/06,136,TANGGA BATU,12,PANTAI KUNDOR,06,Pengkalan Lanjut,1012
136/12/07,136,TANGGA BATU,12,PANTAI KUNDOR,07,Pekan Sungai Udang,1513
136/13/01,136,TANGGA BATU,13,PAYA RUMPUT,01,Hujong Padang,3636
136/13/02,136,TANGGA BATU,13,PAYA RUMPUT,02,Kerubong,5716
136/13/03,136,TANGGA BATU,13,PAYA RUMPUT,03,Cheng,2575
136/13/04,136,TANGGA BATU,13,PAYA RUMPUT,04,Tanjung Minyak,4269
136/13/05,136,TANGGA BATU,13,PAYA RUMPUT,05,Pantai Cheng,2301
136/13/06,136,TANGGA BATU,13,PAYA RUMPUT,06,Cheng Perdana,2304
136/14/01,136,TANGGA BATU,14,KELEBANG,01,Seberang Gajah,3718
136/14/02,136,TANGGA BATU,14,KELEBANG,02,Bukit Rambai,4496
136/14/03,136,TANGGA BATU,14,KELEBANG,03,Kampung Pinang,3180
136/14/04,136,TANGGA BATU,14,KELEBANG,04,Kelebang Besar,1856
136/14/05,136,TANGGA BATU,14,KELEBANG,05,Kelebang Kechil,2175
136/14/06,136,TANGGA BATU,14,KELEBANG,06,Pulau Gadong,1926
136/14/07,136,TANGGA BATU,14,KELEBANG,07,Pekan Kelebang Besar,1279
137/15/01,137,BUKIT KATIL,15,AYER KEROH,01,Sungai Putat,4945
137/15/02,137,BUKIT KATIL,15,AYER KEROH,02,Taman Bukit Melaka,2406
137/15/03,137,BUKIT KATIL,15,AYER KEROH,03,Ayer Keroh Heights,4102
137/15/04,137,BUKIT KATIL,15,AYER KEROH,04,Kampung Ayer Keroh,1894
137/15/05,137,BUKIT KATIL,15,AYER KEROH,05,Kampung Tun Razak,1683
137/15/06,137,BUKIT KATIL,15,AYER KEROH,06,Taman Bunga Raya,1397
137/15/07,137,BUKIT KATIL,15,AYER KEROH,07,Taman Kerjasama,3830
137/15/08,137,BUKIT KATIL,15,AYER KEROH,08,Taman Muzaffar Shah,2259
137/15/09,137,BUKIT KATIL,15,AYER KEROH,09,Taman Tun Rahah,2975
137/16/01,137,BUKIT KATIL,16,BUKIT BARU,01,Bukit Beruang,4022
137/16/02,137,BUKIT KATIL,16,BUKIT BARU,02,Kampung Bukit Katil,5262
137/16/03,137,BUKIT KATIL,16,BUKIT BARU,03,Paya Ikan,1257
137/16/04,137,BUKIT KATIL,16,BUKIT BARU,04,Bukit Baru Dalam,3078
137/16/05,137,BUKIT KATIL,16,BUKIT BARU,05,Padang Jambu,2021
137/16/06,137,BUKIT KATIL,16,BUKIT BARU,06,Bukit Pulau,1888
137/16/07,137,BUKIT KATIL,16,BUKIT BARU,07,Pengkalan Batu,1636
137/16/08,137,BUKIT KATIL,16,BUKIT BARU,08,Bukit Palah,1624
137/16/09,137,BUKIT KATIL,16,BUKIT BARU,09,Bukit Piatu,2672
137/16/10,137,BUKIT KATIL,16,BUKIT BARU,10,Seri Siantan,2313
137/17/01,137,BUKIT KATIL,17,AYER MOLEK,01,Pengkalan Minyak,2758
137/17/01,137,BUKIT KATIL,17,AYER MOLEK,01,Tambak Paya,1167
137/17/02,137,BUKIT KATIL,17,AYER MOLEK,02,Tiang Dua,1131
137/17/03,137,BUKIT KATIL,17,AYER MOLEK,03,Paya Dalam,3128
137/17/02,137,BUKIT KATIL,17,AYER MOLEK,02,Bukit Lintang,2595
137/17/03,137,BUKIT KATIL,17,AYER MOLEK,03,Kandang,3545
137/17/04,137,BUKIT KATIL,17,AYER MOLEK,04,Kg Ayer Molek,1973
137/17/05,137,BUKIT KATIL,17,AYER MOLEK,05,Seri Duyong,5411
137/18/01,137,BUKIT KATIL,18,ALAI,01,Padang Temu,2492
137/18/02,137,BUKIT KATIL,18,ALAI,02,Alai,4514
137/18/04,137,BUKIT KATIL,18,ALAI,04,Kg Telok Mas,3061
137/18/05,137,BUKIT KATIL,18,ALAI,05,Pernu,3923
137/18/03,137,BUKIT KATIL,18,ALAI,03,Kampungku Sayang,1994
137/18/04,137,BUKIT KATIL,18,ALAI,04,Semabok,3157
137/18/05,137,BUKIT KATIL,18,ALAI,05,Kg Padang Semabok,1367
137/18/06,137,BUKIT KATIL,18,ALAI,06,Perigi Hang Tuah,2685
138/19/01,138,KOTA MELAKA,19,BACHANG,01,Malim Jaya,5000
138/19/02,138,KOTA MELAKA,19,BACHANG,02,Pasir Puteh,4272
